,social_sciences?,international_migration?,authors,title,year,journal,affiliations,abstract
167,1,1,"Blandin N., O'Hare J., Colglazier C., Brenner P.",Parallel Python For Agent-Based Modeling At A Global Scale,2017,ACM International Conference Proceeding Series,"Saint Mary's College, United States; University of Notre Dame, United States; North Carolina State University, United States","We introduce a global scale parallel python modeling platform alongside an example global migration model. Our goals focus on improving social scientist access to computationally robust infrastructure, which enhances a scientist's capability to model more complex macro-scale global eects or larger numbers of micro-scale agents and behaviors. We built the model based on a subset of known social and economic factors to test initial computational scalability which we have kept linear with respect to agent population. e Jupyter simulation platform and Python programming language allow for a familiar developer and user interface via a standard internet browser with the computation performed remotely on high performance server hardware. We have successfully scaled to seven billion agents on a multi-core large memory server. e platform has an open license and we are working to enhance modularity for support of new global scale social models. © 2017 ACM."
168,1,0,"Roy D., Lees M.H., Pfeffer K., Sloot P.M.A.",Modelling The Impact Of Household Life Cycle On Slums In Bangalore,2017,"Computers, Environment and Urban Systems","School of Computer Engineering, Nanyang Technological University, 50 Nanyang Avenue639798, Singapore; Department of Geography, Planning and International Development Studies, University of Amsterdam, Plantage Muidergracht 14, Amsterdam, 1018 TV, Netherlands; Computational Science, University of Amsterdam, Science Park 904, Amsterdam, 1098 XH, Netherlands; National Research University ITMO, St. Petersburg, Russian Federation; Complexity Institute, Nanyang Technological University, 50 Nanyang Avenue639798, Singapore","According to the United Nations Human Settlements Program (UNHSP), the number of slum households in developing countries continues to grow by a higher proportion as compared to its encompassing city. Traditionally, policy makers have concentrated on population control strategies by focussing on birth rates and rural–urban migration to stem the growth and emergence of slums. However, these strategies have often failed to achieve the desired results. In the present paper we find the key underlying processes that explains the observed differences in household life cycle between slum and non-slum households. We find that the slum households when compared to nonslum urban households, exhibit a large variation in the household size over the course of their life cycle, which in turn leads to inefficiency while building slum resettlement colonies. We have developed an agent based model, namely DynaSlum, to identify the key social determinants that impact the behaviour of a slum household. We use a novel and unique dataset based on the field work from 37 slums in Bangalore combined with the NFHS data to calibrate DynaSlum and validate our findings. This paper presents two major insights to address the challenges. First, we find that high rate of home leaving among young adults is the key determinants for the large variation in the life cycle of slum households. Second, we show that reducing home leaving among young adults will reduce the formation number of new slum households and contribute to a higher but stable household size. This will lead to efficiency and higher per capita resource consumption when building capacity for slum development (resettlement colonies) as policy makers would be able to plan for a stable household size. © 2017 Elsevier Ltd"
169,0,0,"Melunis J., Hershberg U.",A Spatially Heterogeneous Gillespie Algorithm Modeling Framework That Enables Individual Molecule History And Tracking,2017,Engineering Applications of Artificial Intelligence,"School of Biomedical Engineering and Health Sciences, Drexel University, 3141 Chestnut St., Philadelphia, PA  19104, United States","Stochastic models allow investigators to simulate reactions in a discrete way that can account for fluctuations that are otherwise ignored within a deterministic approach. Integrated particle system (IPS) models are a form of stochastic model that take spatial distributions, environmental factors, and agent migration into consideration. Unlike agent based models (ABM), IPS models only rely on a set of general reactions to describe the interactions of molecules/entities, allowing for an easy cause-effect connection between macroscopic phenomena and microscopic behavior. However, IPS models currently do not track individual agents or apply manipulations to individual agent behavior based on their specific location or their individual history. Therefore, IPS models cannot incorporate agent-based manipulations and tracking while still relying on a set of basic assumptions that are needed to easily connect emergent phenomena to simplistic microscopic behaviors. Here we propose an IPS modeling framework where we convert the exact Gillespie algorithm into a 2 dimensional lattice space that allows for environmental factors where molecules can move stochastically, generating an overall heterogeneous molecule distribution. Individual molecules can be tracked without describing the rules of interaction for each specific individual molecule, forming a tracked IPS (TIPS) modeling framework. However, since each individual molecule is tagged, agent-based manipulations and the ability to alter agent behavior due to history can be incorporated into TIPS, allowing one to model biological systems that would otherwise have to rely on a pure ABM. We apply the TIPS modeling framework to STIM1(stromal interaction molecule 1)-Orai1(calcium release-activated calcium channel protein 1) binding and motion, in T cells as a result of T cell receptor activation a key component of the calcium response within lymphocytes that leads to the adaptive response of T cells in an immune response. Within this biological setting we show that observed patterns of reduced motion following activation can be explained by a diffusion trap coming from changes in the environment of interaction without any real change in the molecules movement rates. © 2016 Elsevier Ltd"
170,0,0,"Borgiani E., Duda G.N., Checa S.",Multiscale Modeling Of Bone Healing: Toward A Systems Biology Approach,2017,Frontiers in Physiology,"Julius WolffInstitute, Charité-Universitätsmedizin Berlin, Berlin, Germany; Berlin-Brandenburg School for Regenerative Therapies, Charité-Universitätsmedizin Berlin, Berlin, Germany","Bone is a living part of the body that can, in most situations, heal itself after fracture. However, in some situations, healing may fail. Compromised conditions, such as large bone defects, aging, immuno-deficiency, or genetic disorders, might lead to delayed or non-unions. Treatment strategies for those conditions remain a clinical challenge, emphasizing the need to better understand the mechanisms behind endogenous bone regeneration. Bone healing is a complex process that involves the coordination of multiple events at different length and time scales. Computer models have been able to provide great insights into the interactions occurring within and across the different scales (organ, tissue, cellular, intracellular) using different modeling approaches [partial differential equations (PDEs), agent-based models, and finite element techniques]. In this review, we summarize the latest advances in computer models of bone healing with a focus on multiscale approaches and how they have contributed to understand the emergence of tissue formation patterns as a result of processes taking place at the lower length scales. © 2017 Borgiani, Duda and Checa."
171,0,0,"Bhui R., Hayenga H.N.",An Agent-Based Model Of Leukocyte Transendothelial Migration During Atherogenesis,2017,PLoS Computational Biology,"Department of Physics, University of Texas, Dallas, Richardson, TX, United States; Department of Bioengineering, University of Texas, Dallas, Richardson, TX, United States","A vast amount of work has been dedicated to the effects of hemodynamics and cytokines on leukocyte adhesion and trans-endothelial migration (TEM) and subsequent accumulation of leukocyte-derived foam cells in the artery wall. However, a comprehensive mechanobiological model to capture these spatiotemporal events and predict the growth and remodeling of an atherosclerotic artery is still lacking. Here, we present a multiscale model of leukocyte TEM and plaque evolution in the left anterior descending (LAD) coronary artery. The approach integrates cellular behaviors via agent-based modeling (ABM) and hemodynamic effects via computational fluid dynamics (CFD). In this computational framework, the ABM implements the diffusion kinetics of key biological proteins, namely Low Density Lipoprotein (LDL), Tissue Necrosis Factor alpha (TNF-α), Interlukin-10 (IL-10) and Interlukin-1 beta (IL-1β), to predict chemotactic driven leukocyte migration into and within the artery wall. The ABM also considers wall shear stress (WSS) dependent leukocyte TEM and compensatory arterial remodeling obeying Glagov’s phenomenon. Interestingly, using fully developed steady blood flow does not result in a representative number of leukocyte TEM as compared to pulsatile flow, whereas passing WSS at peak systole of the pulsatile flow waveform does. Moreover, using the model, we have found leukocyte TEM increases monotonically with decreases in luminal volume. At critical plaque shapes the WSS changes rapidly resulting in sudden increases in leukocyte TEM suggesting lumen volumes that will give rise to rapid plaque growth rates if left untreated. Overall this multi-scale and multi-physics approach appropriately captures and integrates the spatiotemporal events occurring at the cellular level in order to predict leukocyte transmigration and plaque evolution. © 2017 Bhui, Hayenga."
172,0,0,"Rimer O., Ariel G.",Kinetic Order-Disorder Transitions In A Pause-And-Go Swarming Model With Memory,2017,Journal of Theoretical Biology,"Department Of Mathematics, Bar Ilan University, Ramat-Gan, Israel","A two dimensional model of self-propelled particles combining both a pause-and-go movement pattern and memory is studied in simulations. It is shown, that in contrast to previously studied agent based models in two-dimensions, order and disorder are metastable states that can co-exist at some parameter range. In particular, this implies that the formation and decay of global order in swarms may be kinetic rather than a phase transition. Our results explain metastability recently observed in swarming locust and fish. © 2017 Elsevier Ltd"
173,1,0,"Bastardie F., Nielsen J.R., Eero M., Fuga F., Rindorf A.",Effects Of Changes In Stock Productivity And Mixing On Sustainable Fishing And Economic Viability,2017,ICES Journal of Marine Science,"National Institute of Aquatic Resources (DTU-Aqua), Technical University of Denmark, Denmark; Studiofuga, Verona, Italy","Within the new FMSY European paradigm, this paper shows how a combination of changes in fish stock mixing, non-stationarity in productivity, and constraints on unit stock concepts undermine the effective management of fisheries, especially when management reference points are not adjusted accordingly. Recent changes in stock structures, conditions and stock mixing between eastern and western Baltic cod can jeopardize the reliability of stock assessments and of the fishery economy. We modelled how different management, individual vessel decision-making, and stock growth and mixing scenarios have induced alternative individual vessel spatial effort allocation and economic performance by affecting fishing costs and by changing the relative stock abundance and size distribution. Stock mixing heavily influences profit and stock abundance for stocks that have experienced increased fishing mortality (F) levels. Western cod F has increased from a higher total allowed catches (TAC) advised in the medium-term due to the westward migration of eastern cod while eastern cod F has increased from reduced growth in the east. Greater pressures on western cod and decreased eastern cod growth and conditions greatly reduce the overall cod spawning stock biomass, thus changing the landing size composition and associated fishery profits. As a cumulative effect, fishing efforts are redirected towards western areas depending on management (quotas). However, total profits are less affected when traditional fishing opportunities and switching possibilities for other species and areas are maintained. Our evaluation indicates that current management mechanisms cannot correct for potential detrimental effects on cod fisheries when effort re-allocation changes landing origins. By investigating different economic starting conditions we further show that Baltic cod mis-management could have resulted in unintended unequal (skewed) impacts and serious consequences for certain fleets and fishing communities compared with others. Our management strategy evaluation is instrumental in capturing non-linear effects of different recommendations on sustainability and economic viability, and we show that fixed F-values management is likely not an attainable or sufficient goal in ensuring the sustainability and viability of fisheries and stocks given changing biological conditions. © International Council for the Exploration of the Sea 2017. All rights reserved."
174,0,0,"Wang C., Feng T., Wang P., Hou J., Qian J.",Understanding The Transport Feature Of Bloom-Forming Microcystis In A Large Shallow Lake: A New Combined Hydrodynamic And Spatially Explicit Agent-Based Modelling Approach,2017,Ecological Modelling,"College of Enviroment, Hohai University, Nanjing, 210098, China; Key Laboratory of Integrated Regulation and Resource Department on Shallow Lakes, Ministry of Education, Hohai University, Nanjing, 210098, China","Understanding the complex transport feature of phytoplankton is important for predicting bloom-forming process. In this study, a coupled hydrodynamic and agent-based approach is developed to characterise the transport behaviour of colony-forming Microcystis in a large shallow lake. Two models are combined: a hydrodynamic model to offer a basic flow field, and an agent-based model to incorporate the physiological response (buoyancy-controlling strategies) and migratory behaviour (horizontal advection and random-walk vertical mixing) of Micorcystis. The Meiliang Bay in Lake Taihu, which experiences high Microcystis blooms every year, was chosen as a case study to test the performance of this coupled approach. By comparing our coupled model with available field measurement, our results can reproduce changes in buoyancy status and three-dimensional distribution exposures to different wind intensities. Meanwhile, our coupled model shows more accurate results than the simulated results from traditional Eulerian approach. In shallow lake systems, strong wind (>6 m/s) can easily mix water column and keep most colonies buoyant. Subsequent gentle wind (<3 m/s) causes more intensive horizontal accumulation of these buoyant Microcystis in the downwind area than what happens under strong wind. Small colonies are readily dispersed by wind-induced turbulence and homogenized by local current circumstances. Diurnal temporary stratification and large colony sizes contribute to surface patches formation and downwind migration, leading to the heterogeneity of Microcystis bloom under the integrated effect of surface currents and wind drift. Therefore, the transport pattern of Microcystis colonies is a dynamic balance between turbulence and wind drift, along with buoyancy which is related to colony size. Overall, our combined model could be used to characterise the detailed movement patterns of Microcystis colonies or patches in large shallow lakes. © 2016"
175,1,0,"Groeneveld J., Klabunde A., O’Brien M.L., Grow A.",How To Describe Agent-Based Models In Population Studies?,2017,Springer Series on Demographic Methods and Population Analysis,"Department of Ecological Modelling, Helmholtz Centre for Environmental Research – UFZ, Permoserstr. 15, Leipzig, 04318, Germany; Max Planck Institute for Demographic Research, Konrad-Zuse-Straße 1, Rostock, 18057, Germany; Department of Sociology, University of Washington, Seattle, WA, United States; Centre for Sociological Research, University of Leuven (KU Leuven), Parkstraat 45, Leuven, 3000, Belgium","Agent-based models (ABMs) are increasingly used to describe, understand and predict human behaviour. The flexibility of agent-based models allows exploring mechanisms and feedback effects. However, this flexibility comes at a price, which is the problem of communicating and describing the model in a concise and transparent manner. There is no general agreement or culture yet on how agent-based models should be documented and described. Therefore, we want to contribute to the discussion on how agent-based models should be described in this position paper from a demographic perspective. Firstly we present and discuss the plethora of different ways to describe published agent-based models in population studies and demography. Subsequently, we argue that the ODD + D (Overview, Design, Details + Decisions) protocol is apt to address the specific difficulties which arise in describing demographic ABMs. We describe the main elements of the ODD + D protocol and subsequently present the results of an experiment illustrating its usefulness to describe an agent-based model of circular migration. We conclude that protocols such as the ODD + D are not only useful to compile a model description, but also serve as tool for the model developer to check if she has provided all necessary information that allows the reader to fully understand and replicate the model. © 2017, Springer International Publishing Switzerland."
176,1,1,"Makarov V., Bakhtizin A., Sushko E., Ageeva A.",Simulation Of The Socio-Economic System Of The Eurasian Continent Using The Agent-Based Models,2017,Applied Econometrics,"Central Economics and Mathematics Institute, Moscow, Russian Federation","In the paper we describe the construction of an agent-based model of the countries of Eurasia, imitating the basic processes of population movement in these countries, their economies, as well as the conse- quences of implementing large projects as a result of the actions of many independent agents. There are two types of agents in the model: a) countries that are capable of lobbying for the implementation of projects, and b) people who live in these countries, who create families that choose the type of activ- ity and place of residence. The results of a computer experiment are presented. In the simulations the countries were choosing the route of the New «Silk Road» from a set of predefined options, taking into account their own interests, as well as the influence of international unions. © 2017 Sinergia Press. All Rights Reserved."
177,1,0,[No author name available],Proceedings Of Aisb Annual Convention 2017,2017,Proceedings of AISB Annual Convention 2017,,"The proceedings contain 71 papers. The topics discussed include: attitudes and ideologies: how do political issues map on an ideological left-right scale?; does the brain encode information?; artificial life, artificial unconscious; autonomy and social attitudes; what changes in language change? a deflationary model of the emergence of intrusive and linking /r/ in nonrhotic varieties of English; the social dependence of cognition: an agent-based simulation of the perception of scientific value as a function of impact factor; power analysis for agent-based modeling determining the appropriate number of runs; persons, robots and responsibility. how an electronic personality matters; co-developing beliefs and social influence networks towards understanding Brexit; let the machines out. towards hybrid social systems; the benefits of linked data for the social sciences analysing economic drivers and network effects of international migration based on semantically integrated data; an overview of kinetic approaches to study consensus formation; tools and resources for detecting hate and prejudice against immigrants in social media; 1D-bin packing with stochastic diffusion search; and haploid-diploid evolutionary algorithms: the Baldwin effect and recombination nature's way."
178,1,0,"Kohtz S.J., He L., Al Najjar W.A., Alghoul T.M.",Crime Patterns In Chicago Using Agent Based Modeling,2017,67th Annual Conference and Expo of the Institute of Industrial Engineers 2017,"Department of Systems Science and Industrial Engineering, Binghamton University, United States","An agent-based model (ABM) is proposed to represent and analyze the self-organization of crime spread in the city of Chicago. Despite the overall national reduction in crime, Chicago's crime is still double the national average. And in the past year, Chicago's murder rate has been the worst since 1997. Therefore, methods of analyzing complex systems have become essential in predicting crime behavior and movement. Moreover, the interaction between criminals and their living environment, the correlation with the migration of people, and various circumstantial drivers are considered in building the model. The designed ABM will be validated by simulating various experimental scenarios, and comparing the results. From observing patterns across location, time, and crime type, behavior rules and individual adapting properties are determined by using the micro sequential rules. Ideally, the model will be valid, simple, and robust. In the end, a crime spread algorithm is proposed, which has the potential to be implemented to develop practical crime-prevention plans."
179,1,0,"Rahman Fatmi M., Ahsanul Habib M.",Baseline Synthesis And Microsimulation Of Life-Stage Transitions Within An Agent-Based Integrated Urban Model,2017,Procedia Computer Science,"Department of Civil and Resource Engineering, Dalhousie University, 1360 Barrington Street P.O. Box 15000, Halifax, Canada; School of Planning, Department of Civil and Resource Engineering, Dalhousie University, 1360 Barrington Street, P.O. Box 15000, Halifax, Canada","This paper presents baseline synthesis and microsimulation of life-stage transitions within an agent-based integrated Transport Land Use and Energy (iTLE) modeling system. The baseline synthesis involves generation of synthetic population and vehicle ownership level synthesis. Synthetic population in generated in two stages: (1) generation of synthetic population at the dissemination area (DA) level, controlling for household- and individual-level attributes; and (2) allocation of the synthetic population at the micro-spatial unit of parcel using a logit-link model. Vehicle ownership synthesis involves a multinomial logit model to determine the vehicle ownership level for the base year. The life-stages of the synthetic population are simulated longitudinally at a yearly simulation time-step within the iTLE framework. The simulated life-stages include: aging, birth, death, in-migration, out-migration, and household formation. The iTLE is coded in the C# DotNET programming platform. A 100% synthetic population is generated for Halifax, Canada. The baseline synthesis and life-stage simulation results are satisfactory. For instance, population synthesis results suggest that around 62.81% of the DAs show an error percentage range of -5% to +5%. © 2017 The Authors. Published by Elsevier B.V."
180,1,1,"Makarov V.L., Bakhtizin A.R., Sushko E.D., Ageeva A.F.",Agent-Based Approach For Modelling The Labour Migration From China To Russia,2017,Economy of Region,"Central Economics and Mathematics Institute, RAS, 47, Nakhimovsky Ave., Moscow, 117418, Russian Federation","The article describes the process of labour migration from China to Russia and shows its modelling using the agent-based approach. This approach allows us to simulate an artificial society in a computer program taking into account the diversity of individuals under consideration, as well as to model a set of laws and rules of conduct that make up the institutional environment in which the members of this society live. A brief review and analysis of agent-based migration models presented in the foreign literature are given. The agent-based model of labour migration from China to Russia developed by the Central Economic Mathematical Institute of the Russian Academy of Sciences simulates human behaviour close to reality, which is based on their internal purposes, determining the agents choice of territory as a place of residence. Therefore, at the development of the agents of the model and their behaviour algorithms, as well as the organization of the environment in which they exist and interact, the main characteristics of the population of two neighbouring countries and their demographic processes have been considered. Using the model, two experiments have been conducted. The purpose of the first of them was to assess the effect of depreciation of the rubble against the yuan on the overall indexes of labour migration, as well as its structure. In the second experiment, the procedure of the search of the information by agents for the migratory decision-making was changing. Namely, all generalizing information on the average salary by types of activity and skill level of employees, both in China and Russia, became available to all agents irrespective of their qualification level."
181,1,1,"Frydenlund E., Padilla J.J., Earnest D.C.",A Theoretical Model Of Identity Shift In Protracted Refugee Situations,2017,Simulation Series,"Virginia Modeling, Analysis and Simulation Center, Old Dominion University, 1030 University Blvd., Suffolk, VA, United States; Department of Political Science and Geography, Old Dominion University, Batten Arts and Letters, 9000, Norfolk, VA, United States","Refugees are increasingly spending time displaced from their home countries - either in camps or other arrangements. This prompts questions about the role of a traditional, territorially-based notion of national identity during long-term displacement. Do refugees separated from home for generations still retain their national identities? Using an algorithm based on attitude shifts, we developed a theoretical model to represent identity shifts among long-term encamped refugees. Findings from the simulation indicate that refugees, due to the limited types of interactions they may encounter when confined to a camp, may experience identity shifts away from that of their home country, as well as away from territorial nationality. The theoretical model presented in this paper serves as a starting point to question the ability of the UN's 'durable solutions' to refugee crises in a global climate where forced migration endures for increasingly long periods of time. ©2017 Society for Modeling & Simulation International (SCS)."
182,1,0,"Klevakina E.A., Zabelina I.A., Sh Murtazina M.",Evaluation Of Development Prospects Of Renewable Energy: Agent Based Modelling,2017,Journal of Physics: Conference Series,"Institute of Natural Resources Ecology and Criology, 16a, Nedorezova str., Chita, 672014, Russian Federation; Novosibirsk State Technical University, 20, Karla Marksa ave., Novosibirsk, 630073, Russian Federation","The paper describes the agent-based model usage to evaluate the dynamics and the perspectives of alternative energy adopting in the Eastern regions of Russia. It includes a brief review of the agent-based models that can be used for estimation of alternatives in the process of transition to ""green"" economics. The authors show that active usage of solar energy in Russia is possible at the rural household level, when the climate conditions are appropriate. Adoption of solar energy sources decreases the energy production based on the conventional sources and improves the quality of environment in the regions. A complex regional multi-agent model is considered in this paper. The model consists of several private models and uses GIS technologies. These private models are a demographic and migration model of the region and a diffusion of the innovations model. In these models, agents are humans who live within the boundaries of the agents-municipalities, and agents as well are large-scale producers of electricity that pollutes the environment. Such a structure allows us to determine the changes in the demand for electricity generated by traditional sources. A simulation software will assist to identify the opportunities for implementation of alternative energy sources in the Eastern regions of Russia."
183,1,0,[No author name available],"11Th Conference Of The European Social Simulation Association, Essa 2015",2017,Advances in Intelligent Systems and Computing,,The proceedings contain 42 papers. The special focus in this conference is on European Social Simulation Association. The topics include: From field data to attitude formation; a cyberneticmodel of macroeconomic disequilibrium; evolutionary cooperation in a multi agent society; comparing income replacement rate by prefecture in Japanese pension system; hybrid simulation approach for technological innovation policy making in developing countries; modelling contextual decision-making in dilemma games; agent based modelling of military communications on the roman frontier; a calibration to properly design a model integrating residential mobility and migration in a rural area; modeling contagion of behavior in friendship networks as coordination games; a model of social and economic capital in social networks; the impact of macro-scale determinants on individual residential mobility behaviour; a network analytic approach to investigating a land-use change agent-basedmodel; network influence effects in agent based modelling of civil violence; modeling the evolution of ideological landscapes through opinion dynamics; changing habits using contextualized decision making; urban dynamics simulation considering the allocation of a facility for stopped off; using ABM to clarify and refine social practice theory; statistical verification of the multiagent model of volatility clustering on financial markets; lessons learned replicating the analysis of outputs from a social simulation of biodiversity incentivisation; the social learning community-modeling social change from the bottom-up; understanding and predicting compliance with safety regulations at an airline ground service organization and road repair sequencing for disaster victim evacuation.
184,1,1,"Picascia S., Yorke-Smithe N.",Towards An Agent-Based Simulation Of Housing In Urban Beirut,2017,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),"Centre for Policy Modelling, Manchester Metropolitan University, Manchester, United Kingdom; Laboratorio Dati Economici Storici Territoriali, University of Siena, Siena, Italy; Olayan School of Business, American University of Beirut, Beirut, Lebanon","Advances in agent-based modelling have led to theoretically-grounded spatial agent models of urban dynamics, capturing the dynamics of population, property prices, and regeneration. We leverage our extant agent-based model founded on the rent-gap theory, as a lens to study the effect of sizeable refugee migration in an abstracted model of a densely-populated Mediterranean city. Our exploratory work provides the foundation for calibration with real data, and offers a step towards a tool for policy makers asking what-if questions about the urban environment in the context of migration. © Springer International Publishing AG 2017."
185,1,1,"Vallée F., Luciani A., Cox M.P.",Reconstructing Demography And Social Behavior During The Neolithic Expansion From Genomic Diversity Across Island Southeast Asia,2016,Genetics,"Statistics and Bioinformatics Group, Institute of Fundamental Sciences, Massey University, Palmerston North, 4442, New Zealand; European Molecular Biology Laboratory-European Bioinformatics Institute, Wellcome Genome Campus, Hinxton, United Kingdom","Archaeology, linguistics, and increasingly genetics are clarifying how populations moved from mainland Asia, through Island Southeast Asia, and out into the Pacific during the farming revolution. Yet key features of this process remain poorly understood, particularly how social behaviors intersected with demographic drivers to create the patterns of genomic diversity observed across Island Southeast Asia today. Such questions are ripe for computer modeling. Here, we construct an agent-based model to simulate human mobility across Island Southeast Asia from the Neolithic period to the present, with a special focus on interactions between individuals with Asian, Papuan, and mixed Asian-Papuan ancestry. Incorporating key features of the region, including its complex geography (islands and sea), demographic drivers (fecundity and migration), and social behaviors (marriage preferences), the model simultaneously tracks a full suite of genomic markers (autosomes, X chromosome, mitochondrial DNA, and Y chromosome). Using Bayesian inference, model parameters were determined that produce simulations that closely resemble the admixture profiles of 2299 individuals from 84 populations across Island Southeast Asia. The results highlight that greater propensity to migrate and elevated birth rates are related drivers behind the expansion of individuals with Asian ancestry relative to individuals with Papuan ancestry, that offspring preferentially resulted from marriages between Asian women and Papuan men, and that in contrast to current thinking, individuals with Asian ancestry were likely distributed across large parts of western Island Southeast Asia before the Neolithic expansion. © 2016 Vallée et al."
186,1,0,Metcalf S.S.,Modeling Social Ties And Household Mobility,2016,Handbook of Applied System Science,,"Underlying the aggregate phenomena of persistent problems such as urban sprawl and spatial socioeconomic disparity is the individual choice of where to live. This study develops an agent-based model to simulate social and economic influences on neighborhood choice. With Danville, Illinois, as an empirical context, a pattern-oriented approach is employed to examine the role of social ties in shaping intraurban household mobility. In the model, household agents decide whether and where to relocate within the community based on factors such as neighborhood attractiveness, affordability, and the density of a household's social network in the prospective block group. Social network and neighborhood choices are encoded with logit utility functions. The relative influence of factors affecting the formation of social ties in the simulated social network, such as geographic proximity, similarity of income, race, and presence of children, are adjusted using parameter variation to create alternative model settings. Simulated migration patterns resulting from different network and neighborhood choice coefficients are compared with observed migration patterns over a two-year period. Based on 1,000 simulation experiments, a regression of homeowner migration error (the difference between simulated and observed migration) relative to the parameter settings revealed components of social network choice such as income, race, and probability of local ties to be significant in matching observed migration patterns. A nonlinear effect of simulated social networks on household mobility and thus migration error was exhibited in this study. © 2016 Taylor & Francis. All rights reserved."
187,1,0,"Dressler G., Müller B., Frank K., Kuhlicke C.",Towards Thresholds Of Disaster Management Performance Under Demographic Change: Exploring Functional Relationships Using Agent-Based Modeling,2016,Natural Hazards and Earth System Sciences,"Helmholtz Centre for Environmental Research-UFZ, Department of Ecological Modelling, Leipzig, 04318, Germany; Helmholtz Centre for Environmental Research-UFZ, Department of Urban and Environmental Sociology, Leipzig, 04318, Germany; University of Osnabrück, Institute for Environmental Systems Research, Osnabrück, Germany","Effective disaster management is a core feature for the protection of communities against natural disasters such as floods. Disaster management organizations (DMOs) are expected to contribute to ensuring this protection. However, what happens when their resources to cope with a flood are at stake or the intensity and frequency of the event exceeds their capacities? Many cities in the Free State of Saxony, Germany, were strongly hit by several floods in the last years and are additionally challenged by demographic change, with an ageing society and out-migration leading to population shrinkage in many parts of Saxony. Disaster management, which is mostly volunteer-based in Germany, is particularly affected by this change, leading to a loss of members. We propose an agent-based simulation model that acts as a ""virtual lab"" to explore the impact of various changes on disaster management performance. Using different scenarios we examine the impact of changes in personal resources of DMOs, their access to operation relevant information, flood characteristics as well as differences between geographic regions. A loss of DMOs and associated manpower caused by demographic change has the most profound impact on the performance. Especially in rural, upstream regions population decline in combination with very short lead times can put disaster management performance at risk. © 2016 Author(s). CC Attribution 3.0 License."
188,0,0,"Kopecki L., Schneider M., Tuhtan J.A., Ortlepp J., Thonhauser S., Schletterer M.",Fishway Attraction Flow: Assessment And Optimization Using Ethohydraulic Modelling [Leitströmung An Fischaufstiegsanlagen: Bewertung Und Optimierung Über Ethohydraulische Modellierung],2016,WasserWirtschaft,"Sje - Ecohydraulic Engineering GmbH, Viereichenweg 12, Stuttgart, 70569, Germany; HYDRA Büro für Gewässerökologie Mürle und Ortlepp, Mühlweg 17, Öschelbronn, 75223, Germany; TIWAG - Tiroler Wasserkraft AG, Eduard-Wallnöfer-Platz 2, Innsbruck, 6020, Austria","Local detectability is one of the key aspects in establishing functional fish passage structures. Herein we present a novel method as extension of the habitat analysis System CASiMiR for assessing the attraction flow towards a fish pass. The method combines state-of-the-art 2D-hydrodynamic-modelling with recent f indings from ethohydraulics. Computed flow velocity fields are evaluated using the ""ethohydraulic diagram"" allowing for the determination of regions with flow velocities below rheotaxic thresholds as well as those exceeding the critical velocity of target fish species. Additionally, computed pathlines using an agent-based modeling approach allow for the analysis of possible upstream migration paths assuming ideal rheotaxis. The method allows for an adaptive fish passage design including the optimization of an entrance position and geometry in conjunction with the amount of attraction flow."
189,1,0,"Entwisle B., Williams N.E., Verdery A.M., Rindfuss R.R., Walsh S.J., Malanson G.P., Mucha P.J., Frizzelle B.G., McDaniel P.M., Yao X., Heumann B.W., Prasartkul P., Sawangdee Y., Jampaklay A.",Climate Shocks And Migration: An Agent-Based Modeling Approach,2016,Population and Environment,"Office of the Vice Chancellor for Research, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Carolina Population Center, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Jackson School of International Studies, University of Washington, Seattle, WA, United States; Department of Sociology, University of Washington, Box 353340, Seattle, WA  98195-3340, United States; Department of Sociology, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; East-West Center, Honolulu, HI, United States; Department of Geography, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Department of Geography, University of Iowa, Iowa City, IA, United States; Department of Mathematics, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Department of Geography, Center for Geographic Information Science, Central Michigan University, Mount Pleasant, MI, United States; Institute for Population and Social Research, Mahidol University, Bangkok, Thailand; Davis Library, University of North Carolina at Chapel Hill, Chapel Hill, NC, United States; Virginia Tech University, Blacksburg, VA, United States; Department of Sociology and Criminology, Pennsylvania State University, University Park, PA, United States","This is a study of migration responses to climate shocks. We construct an agent-based model that incorporates dynamic linkages between demographic behaviors, such as migration, marriage, and births, and agriculture and land use, which depend on rainfall patterns. The rules and parameterization of our model are empirically derived from qualitative and quantitative analyses of a well-studied demographic field site, Nang Rong district, northeast Thailand. With this model, we simulate patterns of migration under four weather regimes in a rice economy: (1) a reference, “normal” scenario; (2) 7 years of unusually wet weather; (3) 7 years of unusually dry weather; and (4) 7 years of extremely variable weather. Results show relatively small impacts on migration. Experiments with the model show that existing high migration rates and strong selection factors, which are unaffected by climate change, are likely responsible for the weak migration response. © 2016, Springer Science+Business Media New York."
